iter	Passed	Remaining
456	3163	3759
457	3171	3753
458	3176	3744
459	3182	3736
460	3190	3730
461	3196	3721
462	3204	3716
463	3209	3707
464	3216	3701
465	3222	3692
466	3228	3684
467	3235	3677
468	3241	3669
469	3248	3663
470	3255	3656
471	3262	3649
472	3270	3643
473	3276	3636
474	3284	3630
475	3291	3623
476	3298	3616
477	3304	3609
478	3311	3602
479	3319	3596
480	3326	3589
481	3335	3584
482	3341	3576
483	3352	3573
484	3358	3565
485	3365	3559
486	3372	3552
487	3378	3545
488	3384	3537
489	3390	3529
490	3400	3524
491	3406	3516
492	3414	3511
493	3420	3503
494	3427	3496
495	3434	3489
496	3442	3484
497	3448	3476
498	3454	3468
499	3462	3462
500	3468	3454
501	3476	3448
502	3482	3440
503	3488	3432
504	3496	3427
505	3502	3419
506	3510	3413
507	3516	3405
508	3525	3400
509	3532	3393
510	3540	3388
511	3548	3382
512	3557	3376
513	3564	3370
514	3573	3365
515	3580	3358
516	3589	3353
517	3596	3346
518	3605	3341
519	3613	3335
520	3621	3329
521	3629	3323
522	3637	3317
523	3645	3311
524	3653	3305
525	3660	3298
526	3669	3293
527	3676	3286
528	3684	3280
529	3692	3274
530	3698	3266
531	3707	3261
532	3714	3254
533	3723	3249
534	3729	3241
535	3736	3234
536	3743	3227
537	3751	3221
538	3758	3214
539	3763	3206
540	3771	3200
541	3779	3193
542	3787	3188
543	3793	3179
544	3801	3173
545	3807	3166
546	3814	3158
547	3821	3151
548	3827	3143
549	3834	3137
550	3841	3130
551	3848	3123
552	3855	3116
553	3862	3109
554	3868	3101
555	3875	3094
556	3883	3088
557	3890	3081
558	3899	3076
559	3906	3069
560	3913	3062
561	3920	3055
562	3928	3048
563	3935	3041
564	3940	3033
565	3948	3027
566	3953	3018
567	3960	3011
568	3966	3004
569	3972	2996
570	3979	2990
571	3985	2982
572	3992	2975
573	4000	2968
574	4006	2961
575	4014	2954
576	4020	2947
577	4028	2940
578	4034	2933
579	4043	2927
580	4049	2920
581	4058	2914
582	4064	2907
583	4070	2899
584	4078	2893
585	4084	2885
586	4092	2879
587	4098	2871
588	4103	2863
589	4112	2858
590	4119	2850
591	4126	2843
592	4132	2836
593	4139	2829
594	4145	2822
595	4152	2814
596	4160	2808
597	4168	2802
598	4178	2797
599	4189	2792
600	4195	2785
601	4202	2778
602	4210	2771
603	4216	2764
604	4225	2758
605	4231	2751
606	4240	2745
607	4246	2738
608	4255	2731
609	4261	2724
610	4268	2717
611	4275	2710
612	4281	2702
613	4288	2696
614	4294	2688
615	4301	2681
616	4307	2673
617	4313	2666
618	4320	2659
619	4327	2652
620	4335	2645
621	4341	2638
622	4347	2630
623	4354	2623
624	4360	2616
625	4367	2609
626	4373	2601
627	4378	2593
628	4386	2587
629	4392	2579
630	4399	2572
631	4405	2565
632	4413	2558
633	4420	2551
634	4425	2544
635	4433	2537
636	4438	2529
637	4446	2522
638	4452	2515
639	4457	2507
640	4464	2500
641	4470	2492
642	4477	2486
643	4484	2479
644	4491	2471
645	4498	2465
646	4504	2457
647	4512	2451
648	4518	2443
649	4524	2436
650	4531	2429
651	4537	2421
652	4543	2414
653	4551	2407
654	4559	2401
655	4565	2394
656	4571	2386
657	4578	2379
658	4586	2373
659	4595	2367
660	4601	2359
661	4608	2353
662	4614	2345
663	4620	2338
664	4627	2331
665	4633	2323
666	4641	2317
667	4647	2309
668	4653	2302
669	4661	2295
670	4667	2288
671	4674	2281
672	4680	2274
673	4687	2267
674	4694	2260
675	4700	2253
676	4708	2246
677	4714	2238
678	4721	2232
679	4728	2225
680	4733	2217
681	4741	2210
682	4747	2203
683	4754	2196
684	4760	2189
685	4766	2181
686	4774	2175
687	4780	2168
688	4788	2161
689	4794	2153
690	4801	2147
691	4808	2140
692	4813	2132
693	4821	2125
694	4827	2118
695	4834	2111
696	4841	2104
697	4846	2097
698	4854	2090
699	4860	2082
700	4867	2076
701	4874	2069
702	4881	2062
703	4888	2055
704	4895	2048
705	4904	2042
706	4910	2035
707	4917	2028
708	4923	2020
709	4928	2013
710	4936	2006
711	4942	1999
712	4949	1992
713	4956	1985
714	4963	1978
715	4970	1971
716	4979	1965
717	4987	1958
718	4993	1951
719	5000	1944
720	5007	1937
721	5014	1930
722	5020	1923
723	5026	1916
724	5034	1909
725	5040	1902
726	5048	1895
727	5055	1888
728	5064	1882
729	5070	1875
730	5077	1868
731	5083	1861
732	5088	1853
733	5097	1847
734	5103	1840
735	5110	1833
736	5115	1825
737	5122	1818
738	5129	1811
739	5135	1804
740	5142	1797
741	5148	1790
742	5155	1783
743	5162	1776
744	5168	1769
745	5175	1762
746	5182	1755
747	5191	1749
748	5197	1741
749	5204	1734
750	5212	1728
751	5219	1721
752	5225	1714
753	5231	1706
754	5239	1700
755	5245	1692
756	5250	1685
757	5259	1679
758	5265	1671
759	5272	1665
760	5278	1657
761	5285	1650
762	5291	1643
763	5297	1636
764	5303	1629
765	5309	1622
766	5317	1615
767	5324	1608
768	5329	1600
769	5337	1594
770	5342	1586
771	5350	1580
772	5356	1573
773	5362	1565
774	5371	1559
775	5376	1552
776	5383	1545
777	5389	1537
778	5395	1530
779	5402	1523
780	5407	1516
781	5413	1509
782	5421	1502
783	5430	1496
784	5436	1489
785	5442	1481
786	5449	1474
787	5455	1467
788	5461	1460
789	5469	1453
790	5475	1446
791	5482	1439
792	5489	1433
793	5499	1426
794	5504	1419
795	5511	1412
796	5518	1405
797	5524	1398
798	5534	1392
799	5539	1384
800	5548	1378
801	5553	1371
802	5561	1364
803	5568	1357
804	5573	1350
805	5581	1343
806	5587	1336
807	5595	1329
808	5600	1322
809	5608	1315
810	5614	1308
811	5619	1301
812	5626	1294
813	5631	1286
814	5637	1279
815	5644	1272
816	5649	1265
817	5654	1258
818	5662	1251
819	5667	1244
820	5674	1237
821	5680	1230
822	5686	1222
823	5693	1216
824	5698	1208
825	5705	1201
826	5712	1194
827	5718	1187
828	5726	1181
829	5732	1174
830	5740	1167
831	5746	1160
832	5752	1153
833	5759	1146
834	5766	1139
835	5774	1132
836	5780	1125
837	5788	1118
838	5794	1111
839	5800	1104
840	5808	1098
841	5814	1091
842	5822	1084
843	5829	1077
844	5838	1071
845	5844	1063
846	5851	1057
847	5858	1050
848	5863	1042
849	5871	1036
850	5877	1029
851	5883	1022
852	5890	1015
853	5895	1007
854	5902	1001
855	5908	993
856	5913	986
857	5920	979
858	5926	972
859	5933	965
860	5940	958
861	5946	952
862	5953	945
863	5958	937
864	5965	931
865	5971	923
866	5977	916
867	5985	910
868	5991	903
869	5999	896
870	6005	889
871	6010	882
872	6018	875
873	6023	868
874	6030	861
875	6037	854
876	6045	847
877	6050	840
878	6056	833
879	6063	826
880	6069	819
881	6074	812
882	6082	805
883	6088	798
884	6095	792
885	6101	785
886	6106	777
887	6114	771
888	6120	764
889	6127	757
890	6133	750
891	6139	743
892	6146	736
893	6152	729
894	6159	722
895	6165	715
896	6171	708
897	6179	701
898	6185	694
899	6192	688
900	6199	681
901	6204	674
902	6212	667
903	6218	660
904	6224	653
905	6231	646
906	6237	639
907	6245	632
908	6251	625
909	6258	618
910	6265	612
911	6274	605
912	6284	598
913	6295	592
914	6301	585
915	6309	578
916	6315	571
917	6322	564
918	6328	557
919	6334	550
920	6341	543
921	6347	536
922	6354	530
923	6360	523
924	6366	516
925	6372	509
926	6378	502
927	6386	495
928	6393	488
929	6398	481
930	6406	474
931	6411	467
932	6418	460
933	6424	453
934	6429	446
935	6436	440
936	6441	433
937	6447	426
938	6454	419
939	6459	412
940	6466	405
941	6473	398
942	6479	391
943	6488	384
944	6495	378
945	6503	371
946	6517	364
947	6525	357
948	6535	351
949	6542	344
950	6552	337
951	6559	330
952	6568	323
953	6574	317
954	6583	310
955	6589	303
956	6599	296
957	6606	289
958	6614	282
959	6621	275
960	6629	269
961	6638	262
962	6645	255
963	6653	248
964	6662	241
965	6669	234
966	6679	227
967	6688	221
968	6698	214
969	6704	207
970	6712	200
971	6719	193
972	6728	186
973	6734	179
974	6739	172
975	6746	165
976	6752	158
977	6760	152
978	6766	145
979	6772	138
980	6779	131
981	6786	124
982	6793	117
983	6799	110
984	6806	103
985	6813	96
986	6818	89
987	6825	82
988	6831	75
989	6839	69
990	6844	62
991	6849	55
992	6857	48
993	6862	41
994	6868	34
995	6875	27
996	6881	20
997	6889	13
998	6895	6
999	6900	0
